,sigla,prerrequisitos,relacion_prerreq_rest,restricciones,equivalencias
858,MPH3009,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
859,MPH3003,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
860,MPH3002,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
861,MPH3001,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
862,MPH3000,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
863,MPE3020,No tiene,No tiene,No tiene,No tiene
864,MPE3002,MPE3001,No tiene,No tiene,No tiene
865,MPE3000,No tiene,No tiene, (Programa = Esp Psiq Med Psic),No tiene
866,MPA3000,No tiene,No tiene,No tiene,No tiene
867,MOR1040,No tiene,No tiene,No tiene,No tiene
868,MOR1020,No tiene,No tiene,No tiene,No tiene
869,MOR1000,No tiene,No tiene,No tiene,No tiene
870,MOM3002,No tiene,No tiene,No tiene,No tiene
871,MOM3000,No tiene,No tiene,No tiene,No tiene
872,MOF1040,No tiene,No tiene,No tiene,No tiene
873,MOF1020,No tiene,No tiene,No tiene,No tiene
874,MOF1000,No tiene,No tiene,No tiene,No tiene
875,MNU4074,No tiene,No tiene, (Programa = Mag En Nutricion),(MNU4066)
876,MNU3026,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
877,MNU3025,MNU3024,No tiene,No tiene,No tiene
878,MNU3024,MNU3023,y, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
879,MNU3023,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
880,MNU3022,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
881,MNU3008,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
882,MNU3020,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
883,MNU3003,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
884,MNU3002,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
885,MNU3000,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
886,MNR7000,No tiene,No tiene,No tiene,No tiene
887,MNR6000,No tiene,No tiene,No tiene,No tiene
888,MNR5000,No tiene,No tiene,No tiene,No tiene
889,MNR4000,No tiene,No tiene,No tiene,No tiene
890,MNR3150,No tiene,No tiene,No tiene,No tiene
891,MNR3130,No tiene,No tiene,No tiene,No tiene
892,MNR3120,No tiene,No tiene,No tiene,No tiene
893,MNR3040,No tiene,No tiene,No tiene,No tiene
894,MNR3030,No tiene,No tiene,No tiene,No tiene
895,MNR3017,No tiene,No tiene, (Programa = Doct Neurociencias),No tiene
896,MNR3010,No tiene,No tiene,No tiene,No tiene
897,MNR3008,No tiene,No tiene,No tiene,No tiene
898,MNR3009,No tiene,No tiene,No tiene,No tiene
899,MNR3007,No tiene,No tiene,No tiene,No tiene
900,MNR3005,No tiene,No tiene,No tiene,No tiene
901,MNP3010,No tiene,No tiene,No tiene,No tiene
902,MNP3008,No tiene,No tiene,No tiene,No tiene
903,MNP3006,No tiene,No tiene,No tiene,No tiene
904,MNN1020,No tiene,No tiene,No tiene,No tiene
905,MNF1020,No tiene,No tiene,No tiene,No tiene
906,MNN1000,No tiene,No tiene,No tiene,No tiene
907,MNF1000,No tiene,No tiene,No tiene,No tiene
908,MNE1040,No tiene,No tiene,No tiene,No tiene
909,MNE1020,No tiene,No tiene,No tiene,No tiene
910,MNE1000,No tiene,No tiene,No tiene,No tiene
911,MNC3002,No tiene,No tiene,No tiene,No tiene
912,MNC3000,No tiene,No tiene,No tiene,No tiene
913,MNC1040,No tiene,No tiene,No tiene,No tiene
914,MMN1040,No tiene,No tiene,No tiene,No tiene
915,MNC1020,No tiene,No tiene,No tiene,No tiene
916,MNC1000,No tiene,No tiene,No tiene,No tiene
917,MMN1020,No tiene,No tiene,No tiene,No tiene
918,MMN1000,No tiene,No tiene,No tiene,No tiene
919,MMM2012,No tiene,No tiene, (Programa = Dctdo Edpidem),No tiene
920,MMM2011,No tiene,No tiene, (Programa = Dctdo Edpidem),No tiene
921,MMM2010,No tiene,No tiene, (Programa = Dctdo Edpidem),No tiene
922,MMM2006,MMM2003,y, (Programa = Dctdo Edpidem),No tiene
923,MMM2002,MMM2001,y, (Programa = Dctdo Edpidem),No tiene
924,MMM2004,MMM2003,y, (Programa = Dctdo Edpidem),No tiene
925,MMM2000,No tiene,No tiene, (Programa = Dctdo Edpidem),No tiene
926,MMM1008,No tiene,No tiene, (Programa <> Dctdo Edpidem),No tiene
927,MMM1007,MMM1004,y, (Programa = Dctdo Edpidem),No tiene
928,MMM1006,MMM1003,y, (Programa = Dctdo Edpidem),No tiene
929,MMF3020,No tiene,No tiene,No tiene,No tiene
930,MMF3000,No tiene,No tiene,No tiene,No tiene
931,MMM1002,No tiene,No tiene, (Programa = Dctdo Edpidem),No tiene
932,MLC1040,No tiene,No tiene,No tiene,No tiene
933,MMM1001,No tiene,No tiene, (Programa = Dctdo Edpidem),No tiene
934,MLC1020,No tiene,No tiene,No tiene,No tiene
935,MLC1000,No tiene,No tiene,No tiene,No tiene
936,MIR3020,No tiene,No tiene,No tiene,No tiene
937,MIR3000,No tiene,No tiene,No tiene,No tiene
938,MIP1020,No tiene,No tiene,No tiene,No tiene
939,MIP1000,No tiene,No tiene,No tiene,No tiene
940,MII1000,No tiene,No tiene,No tiene,No tiene
941,MII1020,No tiene,No tiene,No tiene,No tiene
942,MIC1020,No tiene,No tiene,No tiene,No tiene
943,MIC1000,No tiene,No tiene,No tiene,No tiene
944,MIA3002,No tiene,No tiene,No tiene,No tiene
945,MIA3000,No tiene,No tiene,No tiene,No tiene
946,MIA1020,No tiene,No tiene,No tiene,No tiene
947,MIA1000,No tiene,No tiene,No tiene,No tiene
948,MHP3022,No tiene,No tiene,No tiene,No tiene
949,MHP3000,No tiene,No tiene,No tiene,No tiene
950,MHE1000,No tiene,No tiene,No tiene,No tiene
951,MHE1020,No tiene,No tiene,No tiene,No tiene
952,MGT1020,No tiene,No tiene,No tiene,No tiene
953,MGT1000,No tiene,No tiene,No tiene,No tiene
954,MGR1010,No tiene,No tiene,No tiene,No tiene
955,MGR1000,No tiene,No tiene,No tiene,No tiene
956,MGP3001,No tiene,No tiene,No tiene,No tiene
957,MGO3002,No tiene,No tiene,No tiene,No tiene
958,MGO3000,No tiene,No tiene,No tiene,No tiene
959,MGC1020,No tiene,No tiene,No tiene,No tiene
960,MGC1010,No tiene,No tiene,No tiene,No tiene
