,sigla,prerrequisitos,relacion_prerreq_rest,restricciones,equivalencias
3477,ASP9008,ASP9002,y, (Programa = Doct En Astrof�sica),No tiene
3478,ASP9007,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)) y ((Escuela = Astrof�sica) o (Escuela = F�sica)),No tiene
3479,ASP9006,No tiene,No tiene,No tiene,No tiene
3480,ASP9002,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)) y ((Escuela = Astrof�sica) o (Escuela = F�sica)),No tiene
3481,ASP5407,FIZ0221 o FIZ0224 o FIS1533,y,(Nivel=Magister) o (Nivel=Doctorado),(ASP5013 o FIM5013 o IEE3863)
3482,ASP9005,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)) y ((Escuela = Astrof�sica) o (Escuela = F�sica)),No tiene
3483,ASP9004,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)) y ((Escuela = Astrof�sica) o (Escuela = F�sica)),No tiene
3484,ASP5401,(FIZ0313 y FIZ0321) o (FIZ0313 y IEE2113) o (FIZ0313 y IEE2112) o (FIZ0321 y IEE2102) o (IEE2102 y IEE2113) o (IEE2102 y IEE2112),y,(Nivel=Magister) o (Nivel=Doctorado),(ASP5001 o FIM5001)
3485,ASP5022,AST0111,o,(Carrera=Doc en Astrofisica) o (Carrera=Mag Cs Exactas/Fisic) o (Carrera=Doct Cs Exactas/Fis) o (Carrera=Mag en Fisica) o (Carrera=Doct en Fisica) o (Carrera=Mag en Astrofisica) o (Carrera=Doct en Astrofisica) o (Carrera=Mag Fisica Medica) o (Carrera=Mag en Astrof�sica),No tiene
3486,FAR4020,FAR4007,y, (Carrera = Doct en Artes),No tiene
3487,FAR4019,FAR4007,y, (Carrera = Doct en Artes),No tiene
3488,FAR4018,FAR4017,y, ((Programa = Doct Artes) o (Programa = Doct Art/Visuales) o (Programa = Doct Art/Teatrales) o (Programa = Doct Art/Musica)),No tiene
3489,FAR4017,FAR4007 o FAR4008,y, ((Programa = Doct Artes) o (Programa = Doct Art/Visuales) o (Programa = Doct Art/Teatrales) o (Programa = Doct Art/Musica)),No tiene
3490,FAR4010,No tiene,No tiene,No tiene,No tiene
3491,FAR4013,FAR4004 y FAR4005,y, ((Programa = Doct Artes) o (Programa = Doct Art/Visuales) o (Programa = Doct Art/Teatrales) o (Programa = Doct Art/Musica)),No tiene
3492,FAR4008,No tiene,No tiene,No tiene,No tiene
3493,FAR4005,No tiene,No tiene,No tiene,No tiene
3494,FAR4002,No tiene,No tiene,No tiene,No tiene
3495,FAR4000,No tiene,No tiene,No tiene,No tiene
3496,FAR3023,No tiene,No tiene,No tiene,No tiene
3497,FAR3021,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
3498,FAR3017,(FAR3016) y (FAR3003),y, (Carrera = Mag en Arte),No tiene
3499,FAR3008,(FAR3016) y (FAR3003),y, (Programa = Mag En Artes),No tiene
3500,FAR3006,(FAR3016) y (FAR3003),y, (Carrera = Mag en Arte),No tiene
3501,ART4004,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
3502,ART3012,No tiene,No tiene, ((Carrera = Mag en Arte) o (Carrera = Doct en Artes)),No tiene
3503,ART3017,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
3504,ART212T,ART0505,No tiene,No tiene,No tiene
3505,ART210T,ART0505,No tiene,No tiene,(ARO115T o ART0383 o ART106T)
3506,ART202E,ART200E o ART201E o ART0321 o ART0322,No tiene,No tiene,No tiene
3507,ART201P,ART200P o ART0342,No tiene,No tiene,(ART0343)
3508,ART201M,ART0404 o ART103M o ARO100M,No tiene,No tiene,(ARO8912)
3509,ART201G,ART0402 o ART0321,No tiene,No tiene,(ART0332)
3510,ART201D,ART0403 o ART0311,No tiene,No tiene,(ARO101D o ART0312)
3511,ART200P,ART0401 o ART0341,No tiene,No tiene,(ART0342)
3512,ART200M,ART0404 o ART103M o ARO100M,No tiene,No tiene,No tiene
3513,ART200G,ART0402 o ART0321,No tiene,No tiene,(ARO100G o ART0331)
3514,ART200F,ART0404 o ART103M o ARO100M,No tiene,No tiene,(ARO100F o ART100G)
3515,ART200E,No tiene,No tiene,No tiene,(ART0321)
3516,ART200D,ART0403 o ART0311,No tiene,No tiene,No tiene
3517,ART0606,ART0405 y ART0500 y ART0505,No tiene,No tiene,(ART0387)
3518,ART0604,ART0501 y ART0502 y ART0503 y ART0504,No tiene,No tiene,No tiene
3519,ART0602,(ART0501 y ART0502 y ART0503 y ART0504) o (ART0373 y ART0374 y ART0375 y ART0376),No tiene,No tiene,No tiene
3520,ART0600,ART0501 y ART0502 y ART0503 y ART0504,No tiene,No tiene,(ART0377)
3521,ART0503,ART0405 o ART0372,No tiene,No tiene,(ART0373 o ART0375)
3522,ART0501,ART0405 o ART0372,No tiene,No tiene,(ART0373 o ART0375 o ART0376)
3523,ART0500,ART0406 o ART108T o ART0353,No tiene,No tiene,(ARO101T o ARO102T o ART0354 o ART109T)
3524,ART0404,No tiene,No tiene, ((Escuela = Lic. Generales (College)) o (Escuela = Arte)),(ARO100M o ART103M o FAR0362)
3525,ART0403,No tiene,No tiene, ((Escuela = Lic. Generales (College)) o (Escuela = Arte)),(ART0311)
3526,ART0402,No tiene,No tiene, ((Escuela = Lic. Generales (College)) o (Escuela = Arte)),(ART0321)
3527,ART0400,No tiene,No tiene, ((Escuela = Lic. Generales (College)) o (Escuela = Arte)),(FAR0361)
3528,ARO123T,No tiene,No tiene, (Nivel = Pregrado),No tiene
3529,ARO113M,No tiene,No tiene, (Nivel = Pregrado),No tiene
3530,ARO111T,No tiene,No tiene,No tiene,No tiene
3531,ARO110M,ART0404 o ARO100M o ART103M,No tiene,No tiene,No tiene
3532,ARO109G,No tiene,No tiene,No tiene,No tiene
3533,ARO108I,No tiene,No tiene, (Nivel = Pregrado),No tiene
3534,ARO108C,No tiene,No tiene,No tiene,(ART106C)
3535,ARO107P,No tiene,No tiene,No tiene,(ARO2810)
3536,ARO107M,No tiene,No tiene,No tiene,No tiene
3537,ARO107F,No tiene,No tiene,No tiene,No tiene
3538,ARO107I,No tiene,No tiene, (Nivel = Pregrado),No tiene
3539,ARO107C,No tiene,No tiene,No tiene,No tiene
3540,ARO106F,No tiene,No tiene,No tiene,No tiene
3541,ARO105T,No tiene,No tiene,No tiene,No tiene
3542,ARO105G,No tiene,No tiene,No tiene,(ARO3830)
3543,ARO105D,No tiene,No tiene,No tiene,No tiene
3544,ARO105C,No tiene,No tiene,No tiene,(ART104C)
3545,ARO104P,No tiene,No tiene,No tiene,No tiene
3546,ARO104M,No tiene,No tiene,No tiene,(ART058)
3547,ARO104E,No tiene,No tiene,No tiene,No tiene
3548,ARO103D,No tiene,No tiene,No tiene,No tiene
3549,ARO102M,No tiene,No tiene,No tiene,No tiene
3550,ARO103C,No tiene,No tiene,No tiene,(ARO110C o ART102C)
3551,ARO102E,No tiene,No tiene,No tiene,No tiene
3552,ARO102D,No tiene,No tiene,No tiene,(ARO3800)
3553,ARO101P,No tiene,No tiene,No tiene,(ARO2110 o ART0343 o ART1342)
3554,ARO101G,No tiene,No tiene,No tiene,(ART024)
3555,ARO101C,No tiene,No tiene,No tiene,(ARO109C o ART100C)
3556,ARO100T,No tiene,No tiene,No tiene,(ART0385 o ART107T)
3557,ARQ3900,AQT008A o AQT008H o AQT008U o AQT008C o AQT008I,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
3558,ARQ3715,AQT008A o AQT008H o AQT008U o AQT008C o AQT008I,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
3559,ARQ3654,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
3560,ARQ3652,No tiene,No tiene,No tiene,No tiene
3561,ARQ3649,No tiene,No tiene,No tiene,No tiene
3562,ARQ3647,No tiene,No tiene,No tiene,No tiene
3563,ARQ3642,(AQC0300 y AQH0400 y AQT008A y AQU0404) o (AQC0300 y AQH0400 y AQT008H y AQU0404) o (AQC0300 y AQH0400 y AQT008U y AQU0404) o (AQC0300 y AQH0400 y AQT008C y AQU0404) o (AQC0300 y AQH0400 y AQT008I y AQU0400),o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
3564,ARQ3639,AQT008A o AQT008H o AQT008U o AQT008C o AQT008I,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
3565,ARQ3634,AQT008A o AQT008H o AQT008U o AQT008C o AQT008I,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
3566,ARQ3630,AQT008A o AQT008H o AQT008U o AQT008C o AQT008I,o,(Nivel=Doctorado) o (Nivel=Magister),No tiene
3567,ARQ3626,AQT008A o AQT008H o AQT008U o AQT008C o AQT008I,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
3568,ARQ3624,AQT008A o AQT008H o AQT008U o AQT008C o AQT008I,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
3569,ARQ3616,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
3570,ARQ3606,(AQC0300 y AQH0400 y AQT008A y AQU0404) o (AQC0300 y AQH0400 y AQT008H y AQU0404) o (AQC0300 y AQH0400 y AQT008U y AQU0404) o (AQC0300 y AQH0400 y AQT008C y AQU0404) o (AQC0300 y AQH0400 y AQT008I y AQU0404),o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
3571,ARQ3605,(AQC0300 y AQH0400 y AQT008A y AQU0404) o (AQC0300 y AQH0400 y AQT008H y AQU0404) o (AQC0300 y AQH0400 y AQT008U y AQU0404) o (AQC0300 y AQH0400 y AQT008C y AQU0404) o (AQC0300 y AQH0400 y AQT008I y AQU0404),o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
3572,ARQ3604,ARQ3602 o AQA1100 o ARQ3351 o ARQ3551 o ARQ3071 o ARQ3203 o AQT010T o AQA110H o AQA1102 o ARQ3204,No tiene,No tiene,No tiene
3573,ARQ3603,ARQ3071 o AQA1100 o ARQ3351 o ARQ3551 o ARQ3602 o ARQ3203 o AQT010T o AQA1102 o AQA110H o ARQ3204,No tiene,No tiene,(ARQ3003 o ARQ3072)
3574,ARQ3602,(ARQ3601),No tiene,No tiene,(AQA1100 o AQT010T)
3575,ARQ3552,ARQ3551 o AQA1100 o ARQ3351 o ARQ3071 o ARQ3602 o ARQ3203 o AQT010T o AQA110H o AQA1102 o ARQ3204,No tiene,No tiene,(ARQ3003)
3576,ARQ3601,AQT008A o AQT008C o AQT008H o AQT008U o AQT008I,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
3577,ARQ3551,ARQ3550,No tiene,No tiene,(AQA1100 o AQT010T o ARQ3504)
3578,ARQ3550,AQT008A o AQT008C o AQT008H o AQT008U o AQT008I,o,(Nivel=Magister) o (Nivel=Doctorado),(ARQ3505)
3579,ARQ3544,AQT008A o AQT008C o AQT008H o AQT008I o AQT008U,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
3580,ARQ3548,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
3581,ARQ3543,AQT008A o AQT008C o AQT008H o AQT008I o AQT008U,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
3582,ARQ3538,AQU0300 y AQU0404,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
3583,ARQ3535,No tiene,No tiene,No tiene,No tiene
3584,ARQ3537,No tiene,No tiene,No tiene,No tiene
3585,ARQ3502,AQT008A o AQT008C o AQT008H o AQT008U o AQT008I,o,(Nivel=Magister) o (Nivel=Doctorado),(ARQ3501)
3586,ARQ3354,AQT008A o AQT008C o AQT008H o AQT008I o AQT008U,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
3587,ARQ3352,ARQ3351 o ARQ3305 o AQA1100 o ARQ3551 o ARQ3071 o ARQ3602 o ARQ3203 o AQT010T o AQA110H o AQA1102 o ARQ3204,No tiene,No tiene,(ARQ3003)
3588,ARQ3351,ARQ3350,No tiene,No tiene,(AQA1100 o AQT010T o ARQ3304 o ARQ3305 o ARQ3504)
3589,ARQ3350,AQT008A o AQT008C o AQT008H o AQT008U o AQT008I,o,(Nivel=Magister) o (Nivel=Doctorado),(ARQ3305)
3590,ARQ3318,AQT008A o AQT008H o AQT008U o AQT008C o AQT008I,o,(Nivel=Doctorado) o (Nivel=Magister),No tiene
3591,ARQ3314,(AQT006A o AQT006U o AQT006H o AQT006I) y AQH0400,o,(Nivel=Doctorado) o (Nivel=Magister) o (Creditos >= 300),No tiene
3592,ARQ3306,No tiene,No tiene, (Programa = Mag Arq Del Paisaje),(ARQ3320)
3593,ARQ3251,AQT008A o AQT008C o AQT008H o AQT008I o AQT008U,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
3594,ARQ3240,AQT008A o AQT008C o AQT008H o AQT008I o AQT008U,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
3595,ARQ3237,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
3596,ARQ3236,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
3597,ARQ3235,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
3598,ARQ3234,AQT008A o AQT008C o AQT008H o AQT008I o AQT008U,o,(Nivel=Doctorado) o (Nivel=Magister),No tiene
3599,ARQ3232,AQT008A o AQT008C o AQT008H o AQT008U o AQT008I,o,(Nivel=Doctorado) o (Nivel=Magister),No tiene
3600,ARQ3230,AQT008A o AQT008C o AQT008H o AQT008I o AQT008U,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
3601,ARQ3228,(AQC0300 y AQH0400 y AQT008A y AQU0404) o (AQC0300 y AQH0400 y AQT008H y AQU0404) o (AQC0300 y AQH0400 y AQT008U y AQU0404) o (AQC0300 y AQH0400 y AQT008C y AQU0404) o (AQC0300 y AQH0400 y AQT008I y AQU0404),o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
3602,ARQ3227,AQT008A o AQT008C o AQT008H o AQT008I o AQT008U,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
3603,ARQ3205,No tiene,No tiene,No tiene,No tiene
3604,ARQ3204,No tiene,No tiene,No tiene,(AQT010T)
3605,ARQ3202,No tiene,No tiene,No tiene,No tiene
3606,ARQ3109,ARQ3070 o ARQ3005,No tiene,No tiene,No tiene
3607,ARQ3108,No tiene,No tiene,No tiene,No tiene
3608,ARQ3107,No tiene,No tiene,No tiene,No tiene
3609,ARQ3103,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
3610,ARQ3100,(AQT008A o AQT008C o AQT008H o AQT008I o AQT008U) y AQH0400 y AQU0404,o,(Nivel=Magister),(ARQ3000)
3611,ARQ3102,No tiene,No tiene,No tiene,No tiene
3612,ARQ3099,AQT008A o AQT008C o AQT008H o AQT008I o AQT008U,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
3613,ARQ3097,AQT008A o AQT008C o AQT008H o AQT008I o AQT008U,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
3614,ARQ3090,AQT008A o AQT008H o AQT008U o AQT008C o AQT008I,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
3615,ARQ3080,(AQH0400 y AQT008A y AQU0404) o (AQH0400 y AQT008C y AQU0404) o (AQH0400 y AQT008H y AQU0404) o (AQH0400 y AQT008U y AQU0404) o (AQH0400 y AQT008I y AQU0404),o,(Nivel=Magister) o (Nivel=Doctorado),(ARQ3002 o ARQ3006)
3616,ARQ3075,AQT0500 o AQA0605,No tiene,No tiene,No tiene
3617,ARQ3071,ARQ3070,No tiene,No tiene,(AQA1100 o AQT010T o ARQ3004)
3618,ARQ3054,AQT008A o AQT008C o AQT008H o AQT008I o AQT008U,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
3619,ARQ3070,AQT008A o AQT008C o AQT008H o AQT008U o AQT008I,o,(Nivel=Magister) o (Nivel=Doctorado),(ARQ3005)
3620,ARQ3049,AQT006A o AQT006C o AQT006H o AQT006U o AQH0400,o,(Creditos >= 300) o (Nivel=Magister) o (Nivel=Doctorado),No tiene
3621,ARQ3044,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
3622,ARQ3027,AQT008A o AQT008H o AQT008U o AQT008C o AQT008I,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
3623,ARQ3023,No tiene,No tiene,No tiene,No tiene
3624,ARQ3009,No tiene,No tiene,No tiene,No tiene
3625,ARQ3001,(AQC0300 y AQH0400 y AQT008A y AQU0404) o (AQC0300 y AQH0400 y AQT008H y AQU0404) o (AQC0300 y AQH0400 y AQT008U y AQU0404) o (AQC0300 y AQH0400 y AQT008C y AQU0404) o (AQC0300 y AQH0400 y AQT008I y AQU0404),o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
3626,ARQ3002,(AQC0300 y AQH0400 y AQT008A y AQU0404) o (AQC0300 y AQH0400 y AQT008H y AQU0404) o (AQC0300 y AQH0400 y AQT008U y AQU0404) o (AQC0300 y AQH0400 y AQT008C y AQU0404) o (AQC0300 y AQH0400 y AQT008I y AQU0404),o,(Nivel=Magister) o (Nivel=Doctorado),(ARQ3080)
3627,ARQ3003,No tiene,No tiene, ((Programa = Mag En Arquitectura) o (Programa = Doct En Arquitectura) o (Programa = Mag Proyecto Urbano) o (Programa = Mag Arq Del Paisaje) o (Programa = Mag Desarrollo Urban) o (Programa = Mag Asent Humanos-Ma)),(ARQ3352 o ARQ3552 o ARQ3603)
3628,ARQ3000,(AQH0400 y AQT008A y AQU0404) o (AQH0400 y AQT008C y AQU0404) o (AQH0400 y AQT008H y AQU0404) o (AQH0400 y AQT008I y AQU0404) o (AQH0400 y AQT008U y AQU0404),o,(Nivel=Magister) o (Nivel=Doctorado),(ADU4004 o ARQ3100)
3629,AQU0404,(AQU0300),No tiene,No tiene,(AQU0400)
3630,AQU0300,AQU0200 o AQU0402,No tiene,No tiene,No tiene
3631,AQU0200,AQU0000 o AQU0301,No tiene,No tiene,(AQU0402)
3632,AQU0000,(AQT0000 y AQD0302) o (AQT0000 y AQT0200) o (AQA0102 y AQD0302) o (AQA0102 y AQT0200) o (AQA0203 y AQT0000) o (AQA0102 y AQA0203),No tiene,No tiene,(AQU0301)
3633,AQT100U,ARQ3551 o AQA1100 o ARQ3351 o ARQ3071 o ARQ3602 o ARQ3203 o AQT010T o AQA110H o AQA1102 o ARQ3204,No tiene,No tiene,(AQA1200 o AQT020T)
3634,AQT100P,ARQ3351 o ARQ3305 o AQA1100 o ARQ3551 o ARQ3071 o ARQ3602 o ARQ3203 o AQT010T o AQA110H o AQA1102 o ARQ3204,No tiene,No tiene,(AQA1200 o AQT020T)
3635,AQT100E,ARQ3602 o AQA1100 o ARQ3351 o ARQ3551 o ARQ3071 o ARQ3203 o AQT010T o AQA110H o AQA1102 o ARQ3204,No tiene,No tiene,(AQA1200 o AQT020T)
3636,AQT100C,AQA1100 o ARQ3351 o ARQ3551 o ARQ3071 o ARQ3602 o ARQ3203 o AQT010T o AQA110H o AQA1102 o ARQ3204,No tiene,No tiene,(AQA1200 o AQT020T)
3637,AQT100A,ARQ3071 o AQA1100 o ARQ3351 o ARQ3551 o ARQ3602 o ARQ3203 o AQT010T o AQA110H o AQA1102 o ARQ3204,No tiene,No tiene,(AQA1200 o AQT020T)
3638,AQT0500,(AQA0504 y AQD0503) o (AQA0504 y AQR1000) o (AQT0400 y AQD0503) o (AQT0400 y AQR1000),No tiene,No tiene,(AQA0605)
3639,AQT0400,AQT0300 y MAT1307,No tiene,No tiene,(AQA0504)
3640,AQT0300,AQD0302 o AQT0200 o AQA0203,No tiene,No tiene,(AQA0304 o AQD0503)
3641,AQT020T,AQT010T o AQA1100 o AQA110H o AQA1102 o ARQ3071 o ARQ3203 o ARQ3204 o ARQ3351 o ARQ3551 o ARQ3602,No tiene,No tiene,(AQA120H o AQA120U o AQA1200 o AQA1202 o AQT100A o AQT100C o AQT100E o AQT100P o AQT100U)
3642,AQT0200,AQT0000 o AQA0102,No tiene,No tiene,(AQA0203 o AQD0302)
3643,AQT010T,(AQA1010 o AQT009A o AQT009C o AQT009H o AQT009I o AQT009U o AQA100C o AQA100H o AQA100I o AQA100U) y (AQO0100 o AQP0802),No tiene,No tiene,(AQA110H o AQA1100 o AQA1102 o ARQ3071 o ARQ3203 o ARQ3204 o ARQ3351 o ARQ3551 o ARQ3602)
3644,AQT009A,AQT008A o AQT008H o AQT008U o AQT008C o AQT008I o AQA0909,No tiene,No tiene,(AQA1010)
3645,AQT008A,(AQT007A o AQT007H o AQT007U o AQT007C o AQT007I) y AQH0300 y AQU0300 y AQC0210,No tiene,No tiene,(AQA0909 o AQT0700)
3646,AQT007U,(AQT006A o AQT006H o AQT006U o AQT006C o AQT006I) y AQC0210 y AQH0300 y AQU0300,No tiene,No tiene,(AQA0808 o AQT060U)
3647,AQT007A,(AQT006A o AQT006H o AQT006U o AQT006C o AQT006I) y AQH0300 y AQU0300 y AQC0210,No tiene,No tiene,(AQA0808 o AQT0600)
3648,AQT006U,(AQA0605 y AQR2000) o (AQT0500 y AQR2000),No tiene,No tiene,(AQA0704 o AQT080U)
3649,AQT006H,(AQA0605 y AQR2000) o (AQT0500 y AQR2000),No tiene,No tiene,(AQA0704 o AQT080H)
3650,AQT006C,(AQA0605 y AQR2000) o (AQT0500 y AQR2000),No tiene,No tiene,(AQA0704 o AQT080C)
3651,AQT006A,(AQA0605 y AQR2000) o (AQT0500 y AQR2000),No tiene,No tiene,(AQA0704 o AQT0800)
3652,AQT0000,No tiene,No tiene,No tiene,(AQA0102)
3653,AQS0100,AQC0202 o AQP0702,No tiene,No tiene,(AQP0802)
3654,AQR2000,(AQA0504 y AQD0503) o (AQA0504 y AQR1000) o (AQT0400 y AQD0503) o (AQT0400 y AQR1000),No tiene,No tiene,No tiene
3655,AQP0802,AQA0706 y AQH0704 y AQP0702,No tiene,No tiene,(AQO0100 o AQS0100)
3656,AQR1000,AQT0300 y MAT1307,No tiene,No tiene,(AQD0503)
3657,AQP0703,AQA0704 y AQH0704 y AQP0702,No tiene,No tiene,No tiene
3658,AQO0100,AQC0202 o AQP0702,No tiene,No tiene,(AQP0802)
3659,AQI0302,No tiene,No tiene,No tiene,(AQH2003 o AQH2004 o AQH2005)
3660,AQI0003,No tiene,No tiene,No tiene,No tiene
3661,AQI0203,No tiene,No tiene,No tiene,No tiene
3662,AQI0002,No tiene,No tiene,No tiene,No tiene
3663,AQH0400,(AQH0300 y AQA0605) o (AQH0300 y AQT0500) o (AQH0403 y AQA0605) o (AQH0403 y AQT0500),No tiene,No tiene,(AQH0704)
3664,AQI0001,No tiene,No tiene,(Escuela=Arquitectura) o (Escuela=Dise�o) o (Escuela=Ingenieria) o (Escuela=Construccion Civil) o (Escuela=Medicina) o (Escuela=Enfermeria) o (Escuela=Psicologia) o ((Creditos >= 100) y (Escuela=Trabajo Social)),No tiene
3665,AQH0200,AQH0000 o AQH0001,No tiene,No tiene,(AQH0202)
3666,AQH0000,No tiene,No tiene,No tiene,(AQH0001)
3667,AQH0300,AQH0200 o AQH0202,No tiene,No tiene,(AQH0403)
3668,AQE6200,No tiene,No tiene,No tiene,No tiene
3669,AQC2010,AQT006A o AQT006H o AQT006U o AQT006C o AQT006I,o,(Creditos >= 300),No tiene
3670,AQC1306,No tiene,No tiene, ((Carrera = Dise�o) o (Carrera = Arquitectura)),No tiene
3671,AQC0210,AQC0110 y FIS1032,No tiene,No tiene,(AQE0102)
3672,AQC0300,(AQC0200 y AQC0210) o (AQC0200 y AQE0102) o (AQC0403 y AQC0210) o (AQC0403 y AQE0102),No tiene,No tiene,(AQC0603)
3673,AQC0110,FIS1030 o FIS1031 o FIS1032,No tiene,No tiene,(AQE0101)
3674,AQC0202,(AQC0200 y AQC0210) o (AQC0200 y AQE0102) o (AQC0403 y AQC0210) o (AQC0403 y AQE0102),y, (Programa = Arquitectura),(AQP0702)
3675,AQC0200,(AQC0100 y AQC0210) o (AQC0100 y AQE0102) o (AQC0201 y AQC0210) o (AQC0201 y AQE0102),No tiene,No tiene,(AQC0403)
3676,AQC0101,(AQC0100 y AQC0110) o (AQC0100 y AQE0101) o (AQC0201 y AQC0110) o (AQC0201 y AQE0101),No tiene,No tiene,No tiene
3677,AQC0100,(FIS1030 y AQC0110) o (FIS1030 y AQE0101) o (FIS1031 y AQC0110) o (FIS1031 y AQE0101) o (FIS1032 y AQC0110) o (FIS1032 y AQE0101) o (FIS1503 y AQE0101) o (FIS1503 y AQC0110),No tiene,No tiene,(AQC0201)
3678,AQA1200,(AQA1010 o AQA100C o AQA100H o AQA100I o AQA100U) y AQP0703,No tiene,No tiene,(AQA120H o AQA120U o AQA1202 o AQT020T o AQT100A o AQT100C o AQT100E o AQT100P o AQT100U)
3679,AQA1100,(AQA1010 o AQA100C o AQA100H o AQA100I o AQA100U) y AQP0703,No tiene,No tiene,(AQA110H o AQA1102 o AQT010T o ARQ3071 o ARQ3203 o ARQ3351 o ARQ3551 o ARQ3602)
3680,ADU4123,No tiene,No tiene, (Programa = Doct En Arquitectura),No tiene
3681,ADU4111,No tiene,No tiene,No tiene,No tiene
3682,ADU4112,No tiene,No tiene, (Programa = Doct En Arquitectura),(ADU4107)
3683,ADU4121,No tiene,No tiene, ((Carrera = Mag en Arquitectura) o (Carrera = Doct en Arquitectura) o (Carrera = Mag Proyecto Urbano) o (Carrera = Mag Arq del Paisaje) o (Carrera = Magister en Patrimonio Cultura) o (Carrera = Mag Arq Sust y Energ) o (Carrera = Mag Desarrollo Urban) o (Carrera = Mag Asent Humanos-Ma)),No tiene
3684,ADU4110,No tiene,No tiene, (Programa = Doct En Arquitectura),No tiene
3685,ADU4109,ADU4102 y ADU4108,y, (Programa = Doct En Arquitectura),No tiene
3686,ADU4108,ADU4101,y, (Programa = Doct En Arquitectura),No tiene
3687,ADU4106,ADU4105,y, (Programa = Doct En Arquitectura),No tiene
3688,ADU4104,ADU4103,y, (Programa = Doct En Arquitectura),No tiene
3689,ADU4103,ADU4102,y, (Programa = Doct En Arquitectura),No tiene
3690,ADU4105,ADU4104,y, (Programa = Doct En Arquitectura),No tiene
3691,ADU4102,ADU4101,y, (Programa = Doct En Arquitectura),No tiene
3692,ADU4049,No tiene,No tiene,No tiene,No tiene
3693,ADU4101,ADU4123,y, (Programa = Doct En Arquitectura),No tiene
3694,ADU4042,No tiene,No tiene,No tiene,No tiene
3695,ADU4003,No tiene,No tiene, ((Carrera = Mag en Arquitectura) o (Carrera = Doct en Arquitectura) o (Carrera = Mag Proyecto Urbano) o (Carrera = Mag Arq del Paisaje) o (Carrera = Mag Desarrollo Urban) o (Carrera = Mag Asent Humanos-Ma)),No tiene
3696,ADU4002,No tiene,No tiene,(Programa=Mag en Arquitectura) o (Programa=Doct en Arquitectura) o (Programa=Mag Proyecto Urbano) o (Carrera=Mag Desarrollo Urban) o (Carrera=Mag Asent Humanos-Ma) o (Carrera=Mag Arq del Paisaje) o (Programa=Mag en Arquitectura),No tiene
3697,ANT504Q,No tiene,No tiene,No tiene,No tiene
3698,ANT503Q,ANT303Q,No tiene,No tiene,No tiene
3699,ANT405R,No tiene,No tiene,No tiene,No tiene
3700,ANT330,No tiene,No tiene,(Creditos >= 400),No tiene
3701,ANT320Q,ANT315Q y ANT316Q,No tiene,No tiene,No tiene
3702,ANT320,No tiene,No tiene,((Escuela=Antropologia) y (Creditos >= 200)),(ANT262)
3703,ANT319Q,ANT315Q y ANT316Q,No tiene,No tiene,No tiene
3704,ANT318Q,ANT315Q y ANT316Q,No tiene,No tiene,No tiene
3705,ANT313Q,No tiene,No tiene,No tiene,No tiene
3706,ANT312Q,ANT308Q,No tiene,No tiene,No tiene
