sigla,Prerrequisitos,Relación entre prerrequisitos y restricciones,Restricciones,Equivalencias
FIL217S,No tiene,No tiene, (Programa = Lic Cs Sociales),(FIL217)
FIL217C,No tiene,No tiene, (Programa = Lic Ccnn Y Matematic),(FIL217)
FIL217H,No tiene,No tiene, (Programa = Lic Arte Y Humanid),(FIL217)
FIL7002,No tiene,No tiene, (Carrera = Doct en Filosofia),(FIL5001 o FIL5002 o FIL5003 o FIL5004 o FIL5005 o FIL5006 o FIL5007 o FIL5008 o FIL5009 o FIL5011 o FIL5012 o FIL5013 o FIL5015 o FIL5016 o FIL6012 o FIL6013 o FIL6015 o FIL6016 o FIL6017 o FIL6018 o FIL6019 o FIL6022 o FIL6023 o FIL6024 o FIL6025 o FIL6026 o FIL6027 o FIL6028)
FIL214,No tiene,No tiene,No tiene,(PSB401A)
FIL213T,No tiene,No tiene,No tiene,No tiene
FIL209,(EAA2410 y EAE1220) o (EAA2410 y EAE130A),No tiene,No tiene,No tiene
FIL2001,No tiene,No tiene, (Nivel = Pregrado),(FIL183 o FIL184)
FIL188,No tiene,No tiene,No tiene,No tiene
FIL2000,No tiene,No tiene, (Programa = Mg Intel Artif),No tiene
FIL185P,No tiene,No tiene,No tiene,(PSI1102)
FIL184A,No tiene,No tiene, ((Programa = Lic Ccnn Y Matematic) o (Programa = Lic Cs Sociales) o (Programa = Lic Arte Y Humanid) o (Programa = Arquitectura) o (Programa = Arquitectura)),No tiene
FIL184,No tiene,No tiene,No tiene,(COM118 o FIL114T o FIL2001 o FIL211B o FIL211L o FIL211S o FIL211T o FIL221T o FIL300R o FIL4120 o PCL440)
FIL183,No tiene,No tiene,No tiene,(FIL013 o FIL113T o FIL180C o FIL180D o FIL180H o FIL180L o FIL180P o FIL180R o FIL180T o FIL181A o FIL183P o FIL2001 o FIL340P o FIL4030 o FIL9701 o SOL101S)
FIL172,No tiene,No tiene,No tiene,No tiene
FIL169,No tiene,No tiene,No tiene,No tiene
FIL167,No tiene,No tiene,No tiene,No tiene
FIL166,No tiene,No tiene,((Carrera=Filosofia) y (Creditos >= 350)),(FIL9900)
FIL143,No tiene,No tiene,No tiene,No tiene
FIL119T,No tiene,No tiene,No tiene,(FIL021 o FIL201T)
FIL122T,No tiene,No tiene,No tiene,(FIL023 o FIL203T)
FIL115T,No tiene,No tiene,No tiene,(FIL019 o FIL200T)
FIL112T,No tiene,No tiene,No tiene,(FIL027 o FIL205T)
FIL111T,No tiene,No tiene,No tiene,(FIL104T)
FIL109T,No tiene,No tiene,No tiene,(FIL026 o FIL189)
FIL027,No tiene,No tiene,No tiene,(FIL112T)
FIL023,No tiene,No tiene,No tiene,(FIL122T)
FIL021,No tiene,No tiene,No tiene,(FIL119T)
FIL026,No tiene,No tiene,No tiene,(FIL109T)
FIL018,No tiene,No tiene,No tiene,(FIL9604)
FIL019,No tiene,No tiene,No tiene,(FIL115T)
FIL014,No tiene,No tiene,No tiene,(FIL9602 o FIL9604)
FIL013,No tiene,No tiene,No tiene,(FIL183 o FIL9701)
FIL011,No tiene,No tiene,No tiene,(FIL9700)
FIL007,No tiene,No tiene,No tiene,(FIL9810)
FIL008,No tiene,No tiene,No tiene,(FIL9811)
FIL005,No tiene,No tiene,No tiene,(FIL9504)
FIL004,No tiene,No tiene,No tiene,(FIL9503)
FIL002,No tiene,No tiene,No tiene,(FIL9501)
EST5140,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
EST4100,No tiene,No tiene,(Creditos >= 70),No tiene
EST3150,No tiene,No tiene, (Programa = Mag Est Americanas),No tiene
EST3100,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
EST3110,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
EST3000,No tiene,No tiene,No tiene,No tiene
EST252E,No tiene,No tiene,No tiene,(ESE4510)
EST251E,No tiene,No tiene,No tiene,(ESE4500)
EST250E,No tiene,No tiene,No tiene,(ESE4520)
EST245D,No tiene,No tiene,No tiene,No tiene
EST240D,No tiene,No tiene,No tiene,(ESE4032)
EST232C,No tiene,No tiene,No tiene,(EST210A o PCL221)
EST222B,ESE4021 o EST221B,No tiene,No tiene,No tiene
EST220B,No tiene,No tiene,No tiene,(ESE4001)
EST230C,No tiene,No tiene,No tiene,(ESE4351 o PCL221)
EST213A,(EST212A),No tiene,No tiene,(ESE4332)
EST211A,No tiene,No tiene,No tiene,(ESE4310)
EST210A,No tiene,No tiene, (Nivel = Pregrado),(ESE4335 o ESL2000 o EST232C o PCL221)
EST002,No tiene,No tiene,No tiene,No tiene
ESO3284,No tiene,No tiene,No tiene,No tiene
ESO247D,No tiene,No tiene,No tiene,No tiene
ESO2663,No tiene,No tiene,No tiene,No tiene
ESO2424,No tiene,No tiene,No tiene,No tiene
ESO235C,No tiene,No tiene,No tiene,No tiene
ESO234C,No tiene,No tiene,No tiene,No tiene
ESO2192,No tiene,No tiene,No tiene,(ESO2191)
ESO2018,No tiene,No tiene,No tiene,No tiene
ESO013,No tiene,No tiene,No tiene,No tiene
ESO005,No tiene,No tiene,No tiene,No tiene
ESE4045,No tiene,No tiene,No tiene,(ESL2051)
IEU4001,No tiene,No tiene,No tiene,No tiene
ESO008,No tiene,No tiene, (Nivel = Pregrado),No tiene
IEU3107,IEU3106,No tiene,No tiene,No tiene
IEU3106,No tiene,No tiene,No tiene,No tiene
IEU3105,No tiene,No tiene,No tiene,No tiene
IEU3101,(IEU3100),No tiene,No tiene,No tiene
IEU3092,No tiene,No tiene,No tiene,(IEU4002)
IEU3100,(IEU2030) y (IEU2035) y (IEU2036),No tiene,No tiene,No tiene
IEU3091,No tiene,No tiene,No tiene,No tiene
IEU3090,No tiene,No tiene,No tiene,No tiene
IEU3088,No tiene,No tiene,No tiene,No tiene
IEU3087,No tiene,No tiene,No tiene,No tiene
IEU3085,No tiene,No tiene,No tiene,No tiene
IEU3066,No tiene,No tiene,No tiene,No tiene
IEU3077,No tiene,No tiene,No tiene,No tiene
IEU3084,No tiene,No tiene,No tiene,No tiene
IEU3065,No tiene,No tiene,No tiene,No tiene
IEU3063,No tiene,No tiene,No tiene,No tiene
IEU3047,No tiene,No tiene,No tiene,No tiene
IEU3046,No tiene,No tiene,No tiene,No tiene
IEU3036,No tiene,No tiene,No tiene,No tiene
IEU2100,No tiene,No tiene,No tiene,No tiene
IEU2050,No tiene,No tiene, (Nivel = Pregrado),No tiene
IEU2049,No tiene,No tiene, (Nivel = Pregrado),No tiene
IEU3011,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
IEU2048,No tiene,No tiene, (Nivel = Pregrado),No tiene
IEU2047,No tiene,No tiene, (Nivel = Pregrado),No tiene
IEU2043,No tiene,No tiene, (Nivel = Pregrado),No tiene
IEU2042,No tiene,No tiene,No tiene,No tiene
IEU2033,No tiene,No tiene,No tiene,No tiene
IEU2031,No tiene,No tiene,No tiene,No tiene
IEU2032,(IEU2026) y (IEU2035),No tiene,No tiene,No tiene
IEU2030,(COM114 o PSI1203 o SOL104 o SOL126 o SOL126S o SOL126C),No tiene,No tiene,No tiene
IEU2028,No tiene,No tiene,No tiene,No tiene
IEU2025,No tiene,No tiene,No tiene,No tiene
IEU2021,No tiene,No tiene,No tiene,No tiene
IEU2020,No tiene,No tiene,No tiene,No tiene
IEU2016,No tiene,No tiene,No tiene,No tiene
AEU2000,No tiene,No tiene,No tiene,No tiene
IEU2009,No tiene,No tiene,No tiene,No tiene
IEU2002,No tiene,No tiene, (Nivel = Pregrado),(PDU134)
GOB3100,GOB3008 y GOB3009,No tiene,No tiene,No tiene
GOB3039,No tiene,No tiene,No tiene,No tiene
GOB3038,No tiene,No tiene,No tiene,No tiene
GOB3037,No tiene,No tiene,No tiene,No tiene
GOB3034,No tiene,No tiene,No tiene,No tiene
GOB3025,No tiene,No tiene,No tiene,No tiene
GOB3032,No tiene,No tiene,No tiene,No tiene
GOB3027,GOB3005,No tiene,No tiene,No tiene
GOB3021,No tiene,No tiene,No tiene,No tiene
GOB3018,No tiene,No tiene,No tiene,No tiene
GOB3009,GOB3008,No tiene,No tiene,No tiene
GOB3008,No tiene,No tiene,No tiene,No tiene
GOB3006,No tiene,No tiene,No tiene,No tiene
GOB2014,No tiene,No tiene,No tiene,No tiene
GOB2004,No tiene,No tiene,No tiene,No tiene
GOB3004,No tiene,No tiene,No tiene,No tiene
GOB2009,No tiene,No tiene,No tiene,No tiene
GOB2003,No tiene,No tiene,No tiene,No tiene
GOB2002,No tiene,No tiene,No tiene,No tiene
GOB1001,No tiene,No tiene,No tiene,No tiene
ADP002G,No tiene,No tiene, (Nivel = Pregrado),No tiene
ADP001G,No tiene,No tiene,No tiene,No tiene
ENO4300,No tiene,No tiene, ((Programa = Mag Enfermeria) o (Programa = Mg Enf Pr Ava m Onco)),No tiene
ENO3102,No tiene,No tiene, ((Programa = Mag Enfermeria) o (Programa = Mg Enf Pr Ava m Onco)),No tiene
ENO2016,MEE200E o BIO140A,No tiene,No tiene,No tiene
ENO4200,No tiene,No tiene, ((Programa = Mag Enfermeria) o (Programa = Mg Enf Pr Ava m Onco)),No tiene
ENO2012,No tiene,No tiene,No tiene,(ENF200)
ENO2007,No tiene,No tiene,No tiene,No tiene
ENO2003,No tiene,No tiene,No tiene,No tiene
ENN3010,No tiene,No tiene,No tiene,No tiene
ENJ3110,No tiene,No tiene,No tiene,No tiene
ENH3010,No tiene,No tiene,No tiene,No tiene
ENJ3010,No tiene,No tiene,No tiene,No tiene
ENF4400,ENF4340 y ENF4360 y ENF4390,No tiene,No tiene,No tiene
ENF4390,No tiene,No tiene,No tiene,No tiene
ENF4380,No tiene,No tiene, ((Programa = Mag Enfermeria) o (Programa = Mg Enf Pr Ava m Onco)),No tiene
ENF4370,No tiene,No tiene,No tiene,No tiene
ENF4340,No tiene,No tiene, ((Programa = Mag Enfermeria) o (Programa = Mg Enf Pr Ava m Onco)),No tiene
ENF4310,No tiene,No tiene, (Programa = Mag Enfermeria),No tiene
ENF4360,No tiene,No tiene, ((Programa = Mag Enfermeria) o (Programa = Mg Enf Pr Ava m Onco)),No tiene
ENF420,No tiene,No tiene,No tiene,No tiene
ENF4140,(ENF4130),No tiene,No tiene,No tiene
ENF4130,No tiene,No tiene, (Programa = Mag Enfermeria),No tiene
ENF4101,No tiene,No tiene, ((Programa = Mag Enfermeria) o (Programa = Mg Enf Pr Ava m Onco)),No tiene
ENF4030,No tiene,No tiene, ((Programa = Mag Enfermeria) o (Programa = Mg Enf Pr Ava m Onco)),No tiene
ENF300P,No tiene,No tiene,No tiene,(ENI2003)
ENF4000,No tiene,No tiene, ((Programa = Mag Enfermeria) o (Programa = Mg Enf Pr Ava m Onco)),No tiene
ENF2560,No tiene,No tiene,No tiene,No tiene
ENF2558,No tiene,No tiene,No tiene,No tiene
ENF2552,ENF2512 o ENT2510 o ENT2520 o ENT2526 o ENT2532,No tiene,No tiene,(ENP2518)
ENF2548,ENF2516 o ENT2515 o ENT2523 o ENT2529,No tiene,No tiene,(ENC2516)
ENF2544,ENF2302 y ENF2306 y ENF2310 y ENF2314 y ENF2318 y ENF2321 y ENF2324,No tiene,No tiene,(ENI2512 o ENP2415)
ENF2540,ENF2512 o ENT2510 o ENT2520 o ENT2526 o ENT2532,No tiene,No tiene,(ENI2511)
ENF2536,ENF2516 o ENT2515 o ENT2523 o ENT2529,No tiene,No tiene,(ENC2507)
ENF2528,ENF2302 y ENF2306 y ENF2310 y ENF2314 y ENF2318 y ENF2321 y ENF2324,No tiene,No tiene,(ENF2000 o ENO3145)
ENF2520,ENF2512 o ENT2510 o ENT2520 o ENT2526 o ENT2532,No tiene,No tiene,(ENA2501)
ENF2516,ENF2302 y ENF2306 y ENF2310 y ENF2314 y ENF2318 y ENF2321 y ENF2324,No tiene,No tiene,(ENT2515 o ENT2523 o ENT2529)
ENF2512,ENF2302 y ENF2306 y ENF2310 y ENF2314 y ENF2318 y ENF2321 y ENF2324,No tiene,No tiene,(ENT2510 o ENT2520 o ENT2526 o ENT2532)
ENF2508,(ENF2500 y ENF2544) o (ENF2500 y ENI2512) o (ENF2500 y ENP2415) o (ENP2420 y ENF2544) o (ENP2420 y ENI2512) o (ENP2420 y ENP2415),No tiene,No tiene,(ENT2505)
ENF2504,(ENF2500 y ENF2544) o (ENF2500 y ENI2512) o (ENF2500 y ENP2415) o (ENP2420 y ENF2544) o (ENP2420 y ENI2512) o (ENP2420 y ENP2415),No tiene,No tiene,(ENT2500)
ENF2500,ENF2302 y ENF2306 y ENF2310 y ENF2314 y ENF2318 y ENF2321 y ENF2324,No tiene,No tiene,(ENP2420)
ENF2412,ENF2302(c) o ENF2306(c) o ENF2310 o ENF2318(c) o (ENF2321(c) y ENF2324(c)),No tiene,No tiene,(ENP2412)
ENF2406,ENF2302(c) o ENF2306(c) o ENF2310 o ENF2318(c) o (ENF2321(c) y ENF2324(c)),No tiene,No tiene,(ENY2406)
ENF2400,ENF2302(c) o ENF2306(c) o ENF2310 o ENF2318(c) o (ENF2321(c) y ENF2324(c)),No tiene,No tiene,(ENG2400)
ENF2324,ENF1132 o ENF1129,No tiene,No tiene,(ENF1123)
ENF2321,(ENF2201 y ENF2205 y EYP1086 y MED821 y MEE200E) o (ENF2201 y ENF2205 y EYP1510 y MED821 y MEE200E),No tiene,No tiene,(ENP2318)
ENF2318,(ENF2201 y ENF2205 y EYP1086 y MED821 y MEE200E) o (ENF2201 y ENF2205 y EYP1510 y MED821 y MEE200E),No tiene,No tiene,(ENP2316)
ENF2310,(ENF2201 y ENF2205 y EYP1086 y MED821 y MEE200E) o (ENF2201 y ENF2205 y EYP1510 y MED821 y MEE200E),No tiene,No tiene,(ENP2309)
ENF2306,ENF2302(c) o ENF2310(c) o ENF2318(c) o ENF2314(c) o ENF2321(c),No tiene,No tiene,(ENP2306)
ENF2314,(ENF2201 y ENF2205 y ENF2306(c) y EYP1086 y MED821 y MEE200E) o (ENF2201 y ENF2205 y ENF2306(c) y EYP1510 y MED821 y MEE200E),No tiene,No tiene,(ENP2313)
ENF2302,(ENF2201 y ENF2205 y EYP1086 y MED821 y MEE200E) o (ENF2201 y ENF2205 y EYP1510 y MED821 y MEE200E),No tiene,No tiene,(ENP2302)
ENF2205,(ENF1126 y ENF1132 y EYP1086) o (ENF1126 y ENF1132 y EYP1086(c)),No tiene,No tiene,(ENP1205)
ENF1212,No tiene,No tiene,No tiene,No tiene
ENF2201,BIO135F(c) y ENF1132 y PSB118,No tiene,No tiene,(ENF1201)
ENF1205,MED841,No tiene,No tiene,No tiene
ENF1133,No tiene,No tiene,No tiene,No tiene
ENF1126,No tiene,No tiene, (Nivel = Pregrado),(ENF1125)
ENF1127,No tiene,No tiene,No tiene,No tiene
ENF1124,No tiene,No tiene,No tiene,No tiene
ENF1112,No tiene,No tiene,No tiene,No tiene
ENF1102,No tiene,No tiene, (Nivel = Pregrado),No tiene
ENF1100,No tiene,No tiene, (Nivel = Pregrado),No tiene
ENB3010,No tiene,No tiene,No tiene,No tiene
ENA3420,No tiene,No tiene,No tiene,No tiene
ENA3413,No tiene,No tiene,No tiene,No tiene
EIN1008,No tiene,No tiene,No tiene,No tiene
EIN1007,(EIN1005 y LET1332 y LET2312) o (EIN1005 y LET1732 y LET2312),No tiene,No tiene,No tiene
EIN1004,EIN1003,No tiene,No tiene,No tiene
EIN1002,LET1314 o LET1714,No tiene,No tiene,No tiene
EIN1001,No tiene,No tiene,No tiene,No tiene
EFS1510,No tiene,No tiene, (Carrera = Ped Ed Fis y Sal - Bas y Med),No tiene
EFS1505,No tiene,No tiene, (Carrera = Ped Ed Fis y Sal - Bas y Med),No tiene
EFS1500,No tiene,No tiene, (Carrera = Ped Ed Fis y Sal - Bas y Med),No tiene
EFS1030,No tiene,No tiene, (Carrera = Ped Ed Fis y Sal - Bas y Med),No tiene
EFS1010,No tiene,No tiene, (Carrera = Ped Ed Fis y Sal - Bas y Med),No tiene
EFS1000,No tiene,No tiene, (Carrera = Ped Ed Fis y Sal - Bas y Med),No tiene
EDU552,EFS1040,y, (Carrera = Ped Ed Fis y Sal - Bas y Med),No tiene
EDU4230,EDU4222,y, (Programa = Doct Educacion),No tiene
EDU4229,(EDU4228),y, ((Programa = Doct En Cs Educacion) o (Programa = Doct Educacion)),No tiene
EDU4225,(EDU4224),No tiene,No tiene,No tiene
EDU4224,(EDU4223(c)),No tiene,No tiene,No tiene
EDU4228,(EDU4227),y, ((Programa = Doct En Cs Educacion) o (Programa = Doct Educacion)),No tiene
EDU4221,No tiene,No tiene,No tiene,No tiene
EDU4220,No tiene,No tiene,No tiene,No tiene
EDU4226,(EDU4205),y, ((Programa = Doct En Cs Educacion) o (Programa = Doct Educacion)),No tiene
EDU4205,No tiene,No tiene,No tiene,No tiene
EDU4064,No tiene,No tiene, (Nivel = Doctorado),No tiene
EDU4061,No tiene,No tiene,No tiene,No tiene
EDU4063,No tiene,No tiene,No tiene,No tiene
EDU4062,No tiene,No tiene,No tiene,No tiene
EDU405R,EDU004R(c) o EDU009R(c) o EDU017R(c) o EDU018R(c),No tiene,No tiene,No tiene
EDU4048,No tiene,No tiene, (Programa = Doct Educacion),No tiene
EDU4045,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
EDU4044,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
EDU4041,No tiene,No tiene, (Programa = Doct Educacion),No tiene
EDU403R,(EDU163R) y (EDU302R),No tiene,No tiene,No tiene
EDU4038,No tiene,No tiene,No tiene,No tiene
EDU4037,No tiene,No tiene,No tiene,No tiene
EDU4002,No tiene,No tiene, ((Carrera = Mag Cs Educacion) o (Carrera = Doct en Cs Educacion)),No tiene
EDU401R,(EDU319R) y (EDU301R),No tiene,No tiene,No tiene
EDU3899,EDU3898,No tiene,No tiene,No tiene
EDU3890,No tiene,No tiene,No tiene,No tiene
EDU3895,No tiene,No tiene,No tiene,No tiene
EDU3883,No tiene,No tiene,No tiene,No tiene
EDU3880,No tiene,No tiene,No tiene,No tiene
EDU3873,No tiene,No tiene,No tiene,No tiene
EDU3870,No tiene,No tiene,No tiene,No tiene
EDU3860,No tiene,No tiene,No tiene,No tiene
EDU3864,No tiene,No tiene,No tiene,No tiene
EDU3851,No tiene,No tiene,No tiene,No tiene
EDU3850,No tiene,No tiene,No tiene,No tiene
EDU3844,No tiene,No tiene,No tiene,No tiene
EDU3841,No tiene,No tiene,No tiene,No tiene
EDU3840,No tiene,No tiene,No tiene,No tiene
EDU3835,No tiene,No tiene,No tiene,No tiene
EDU3834,No tiene,No tiene,No tiene,No tiene
EDU3833,No tiene,No tiene,No tiene,No tiene
EDU3831,No tiene,No tiene,No tiene,No tiene
EDU3830,No tiene,No tiene,No tiene,No tiene
EDU3828,No tiene,No tiene,No tiene,No tiene
EDU3827,No tiene,No tiene,No tiene,No tiene
EDU3824,No tiene,No tiene,No tiene,No tiene
EDU3821,No tiene,No tiene,No tiene,No tiene
EDU3820,No tiene,No tiene,No tiene,No tiene
EDU3814,No tiene,No tiene,No tiene,No tiene
EDU3811,No tiene,No tiene,No tiene,No tiene
EDU3810,No tiene,No tiene,No tiene,No tiene
EDU3805,No tiene,No tiene,No tiene,No tiene
EDU3803,No tiene,No tiene,No tiene,No tiene
EDU3800,No tiene,No tiene,No tiene,No tiene
EDU3801,No tiene,No tiene,No tiene,No tiene
EDU370F,No tiene,No tiene,No tiene,(DPT6651)
EDU21ES,No tiene,No tiene, (Nivel = Pregrado),No tiene
EDU0512,No tiene,No tiene,No tiene,No tiene
EDU0511,No tiene,No tiene,No tiene,No tiene
EDU0510,No tiene,No tiene, (Programa = Ped Ing Ed Bas y Med),No tiene
EDU0507,EDU0506,No tiene,No tiene,No tiene
EDU0506,LET1314 o LET1714,No tiene,No tiene,No tiene
EDU0504,EDU0503 y EDU0507,No tiene,No tiene,No tiene
EDU0502,EDU0501 y EDU0506,No tiene,No tiene,No tiene
EDU0462,(EDU0461) y (EDU0460(c)),No tiene,No tiene,No tiene
EDU0461,(EDU0443) y (EDU0459(c)),No tiene,No tiene,No tiene
EDU0460,(EDU0459) y (EDU0462(c)),No tiene,No tiene,No tiene
EDU0459,(EDU0461(c)),No tiene,No tiene,No tiene
EDU0457,EDU0431 o EPA5150,No tiene,No tiene,No tiene
EDU0455,(EDU0456),No tiene,No tiene,No tiene
EDU0452,(EDU0451(c)) y (EDU0450(c)),No tiene,No tiene,No tiene
EDU0451,(EDU0443) y (EDU0449(c)),No tiene,No tiene,No tiene
EDU0450,(EDU0449 y EDU0452(c)),No tiene,No tiene,No tiene
EDU0449,(EDU0451(c)),No tiene,No tiene,No tiene
EDU0447,(TSL100P),No tiene,No tiene,No tiene
EDU0446,EDU0429 o EPA5200,No tiene,No tiene,No tiene
EDU0443,(EDU0442 y EDU0430(c)) o (EDU0442 y EPA5700(c)) o (EDU0442 y EPA5750(c)),No tiene,No tiene,No tiene
EDU0442,(EDU0441 y EDU0429(c)) o (EDU0441 y EPA5200(c)),No tiene,No tiene,No tiene
EDU0441,No tiene,No tiene,No tiene,No tiene
EDU0437,EDU0429 o EPA5200,No tiene,No tiene,(EPA5450)
EDU0436,EDU0429 o EPA5200,No tiene,No tiene,(EBP3400)
EDU0435,EDU0429 o EPA5200,No tiene,No tiene,(EBP3300)
EDU0434,(EDU0424 y EDU0425) o (EDU0424 y EPA3200),No tiene,No tiene,(EPA5250)
EDU0433,(BIO100P y EDU0429) o (BIO100P y EPA5200),No tiene,No tiene,(EPA5550)
EDU0432,(EDU0427 y EDU0429) o (EDU0427 y EPA5200),No tiene,No tiene,(EPA5650)
EDU0431,EPA3100 o MAT1900,No tiene,No tiene,(EPA5150)
EDU0430,(EDU0420 y EDU0443(c)) o (EFG2000 y EDU0443(c)) o (EFG2200 y EDU0443(c)),No tiene,No tiene,(EPA5700 o EPA5750)
EDU0429,(EDU0428 y EDU0442(c)) o (EFG1200 y EDU0442(c)),No tiene,No tiene,(EPA5200)
EDU0428,No tiene,No tiene,No tiene,(EFG1200)
EDU0427,No tiene,No tiene,No tiene,No tiene
EDU0425,No tiene,No tiene,No tiene,(EPA3200)
EDU0424,No tiene,No tiene,No tiene,No tiene
EDU0423,(EDU0420 y EDU0429) o (EDU0420 y EPA5200) o (EFG2000 y EDU0429) o (EFG2000 y EPA5200) o (EFG2200 y EDU0429) o (EFG2200 y EPA5200),No tiene,No tiene,(EFG2100)
EDU0421,No tiene,No tiene,No tiene,(EFG1500)
EDU0420,No tiene,No tiene,No tiene,(EFG2000 o EFG2200)
EDU0393,(EDU0395 y EDU0337) o (EDU0365 y EDU0337) o (EDU0375 y EDU0337) o (EDU0385 y EDU0337) o (EDU0360 y EDU0337),No tiene,No tiene,No tiene
EDU0396,EDU0395 o EDU0365 o EDU0375 o EDU0385 o EDU0360,No tiene,No tiene,No tiene
EDU0386,EDU0385 o EDU0365 o EDU0375 o EDU0395 o EDU0360,No tiene,No tiene,No tiene
EDU0380,IHI0055 o IHI0101 o IHI1006,No tiene,No tiene,No tiene
EDU0376,EDU0375 o EDU0365 o EDU0385 o EDU0395 o EDU0360,No tiene,No tiene,No tiene
EDU0370,(MAT2920 y MAT2930) o (MAT2920 y MAT2940),No tiene,No tiene,No tiene
EDU0366,(EDU0365 y EDU0362(c)) o (EDU0375 y EDU0362(c)) o (EDU0385 y EDU0362(c)) o (EDU0395 y EDU0362(c)) o (EDU0360 y EDU0362(c)),No tiene,No tiene,No tiene
EDU0363,EDU0330 y EDU0322 y EDU0331 y EDU0365(c),No tiene,No tiene,No tiene
EDU0361,(EDU0330 y EDU0322) o (EDU0330 y ELB1001),No tiene,No tiene,No tiene
EDU0362,No tiene,No tiene,No tiene,No tiene
EDU0341,No tiene,No tiene,No tiene,No tiene
EDU0360,EDU0340 y EDU0331 y EDU0333 y EDU0335 y EDU0337,No tiene,No tiene,(EDU0365 o EDU0375 o EDU0385 o EDU0395)
EDU0340,EDU0339 y EDU0332 y EDU0334 y EDU0336,No tiene,No tiene,No tiene
EDU0339,EDU0338 y EDU0318 y EDU0319 y EDU0330,No tiene,No tiene,No tiene
EDU0338,EDU0315(c) o EFG1300(c),No tiene,No tiene,(EBP3000)
EDU0336,(BIO155C y EDU0315 y EDU0318 y EDU0319 y QIM100) o (BIO155C y EDU0315 y EDU0318 y EDU0319 y QIM100P) o (BIO155E y EDU0315 y EDU0318 y EDU0319 y QIM100) o (BIO155E y EDU0315 y EDU0318 y EDU0319 y QIM100P),No tiene,No tiene,(EBA4550)
EDU0337,(FIS109C(c) y EBA4550) o (FIS109C(c) y EDU0336) o (FIS119E(c) y EBA4550) o (FIS119E(c) y EDU0336) o (FIS109A(c) y EDU0336) o (FIS109A(c) y EBA4550) o (FIZ1111(c) y EDU0336) o (FIZ1111(c) y EBA4550),No tiene,No tiene,No tiene
EDU0335,(GEO1006 o GEO111) y EDU0315 y EDU0318 y EDU0319,No tiene,No tiene,No tiene
EDU0334,EDU0323 y EDU0315 y EDU0318 y EDU0319,No tiene,No tiene,(EBA4650)
EDU0333,EBA4150 o EDU0332,No tiene,No tiene,No tiene
EDU0332,EYP1020 y MAT1930 y EDU0315 y EDU0318 y EDU0319,No tiene,No tiene,(EBA4150)
EDU0331,LET002B y EDU0315 y EDU0318 y EDU0319,No tiene,No tiene,No tiene
EDU0330,(LET002B y EDU0318) o (LET002B y EFG2000),No tiene,No tiene,No tiene
EDU0323,No tiene,No tiene,No tiene,(EBA4600)
EDU0329,No tiene,No tiene,No tiene,(EBP3300)
EDU0322,No tiene,No tiene,No tiene,(ELB1001)
EDU0321,(EDU0340(c)),No tiene,No tiene,(EBA4850)
EDU0320,No tiene,No tiene, ((Carrera = P General Basica) o (Carrera = Ped Ed Fis y Sal - Bas y Med) o (Carrera = Ped Rel Cat - Ed Bas y Med)),(EBP3500 o EDU0166 o EDU556)
EDU0319,EDU0318 o EFG2000,No tiene,No tiene,(EFG2100)
EDU0318,No tiene,No tiene,No tiene,(EFG2000)
EDU0317,No tiene,No tiene, ((Programa = Ped. General Basica) o (Programa = Ed De Parvulos) o (Programa = Ped Edu Parvularia) o (Programa = Ped Rel Cat)),(EFG2300)
EDU0315,(EDU0310 y EDU0338(c)) o (EDU0310 y EBP3000(c)) o (EFG1200 y EDU0338(c)) o (EFG1200 y EBP3000(c)) o (EDU0038 y EDU0039(c)),No tiene,No tiene,(EFG1300)
EDU0314,No tiene,No tiene,No tiene,(EDU0309 o EFG1100 o EFG1400)
EDU0316,EDU0340(c) o EDU0043(c),No tiene,No tiene,(EFG2400)
EDU0313,No tiene,No tiene,No tiene,(EDU0308 o EFG1400)
EDU0312,No tiene,No tiene,No tiene,(EDU0307 o EFG1400 o EFG1500 o EFG2500)
EDU0311,No tiene,No tiene,No tiene,(EFG1000)
EDU0310,No tiene,No tiene,No tiene,(EFG1200)
EDU0276,EDU0165 y EDU0160 y EDU0162 y EDU0161(c),y, (Programa = Edu Media Quimica),(EDU0267)
EDU0277,EDU0276 o EDU0267,y, (Programa = Edu Media Quimica),(EDU0268)
EDU0272,EDU0165 y EDU0160 y EDU0162 y EDU0161(c),y, (Programa = Edu Med Fisica),(EDU0257)
EDU0275,EDU0274 o EDU0262,y, (Programa = Educ Med Cc Nn Y Bio),(EDU0263)
EDU0274,EDU0165 y EDU0160 y EDU0162 y EDU0161(c),y, (Programa = Educ Med Cc Nn Y Bio),(EDU0262)
EDU0273,EDU0272 o EDU0257,y, (Programa = Edu Med Fisica),(EDU0258)
EDU0271,EDU0270 o EDU0252,y, (Programa = Edu Med Matematica),(EDU0253)
EDU0270,EDU0165 y EDU0160 y EDU0162 y EDU0161(c),y, (Programa = Edu Med Matematica),(EDU0252)
