sigla,Prerrequisitos,Relación entre prerrequisitos y restricciones,Restricciones,Equivalencias
AQT008A,(AQT007A o AQT007H o AQT007U o AQT007C o AQT007I) y AQH0300 y AQU0300 y AQC0210,No tiene,No tiene,(AQA0909 o AQT0700)
AQT007U,(AQT006A o AQT006H o AQT006U o AQT006C o AQT006I) y AQC0210 y AQH0300 y AQU0300,No tiene,No tiene,(AQA0808 o AQT060U)
AQT007A,(AQT006A o AQT006H o AQT006U o AQT006C o AQT006I) y AQH0300 y AQU0300 y AQC0210,No tiene,No tiene,(AQA0808 o AQT0600)
AQT006U,(AQA0605 y AQR2000) o (AQT0500 y AQR2000),No tiene,No tiene,(AQA0704 o AQT080U)
AQT006H,(AQA0605 y AQR2000) o (AQT0500 y AQR2000),No tiene,No tiene,(AQA0704 o AQT080H)
AQT006C,(AQA0605 y AQR2000) o (AQT0500 y AQR2000),No tiene,No tiene,(AQA0704 o AQT080C)
AQT006A,(AQA0605 y AQR2000) o (AQT0500 y AQR2000),No tiene,No tiene,(AQA0704 o AQT0800)
AQT0000,No tiene,No tiene,No tiene,(AQA0102)
AQS0100,AQC0202 o AQP0702,No tiene,No tiene,(AQP0802)
AQR2000,(AQA0504 y AQD0503) o (AQA0504 y AQR1000) o (AQT0400 y AQD0503) o (AQT0400 y AQR1000),No tiene,No tiene,No tiene
AQP0802,AQA0706 y AQH0704 y AQP0702,No tiene,No tiene,(AQO0100 o AQS0100)
AQR1000,AQT0300 y MAT1307,No tiene,No tiene,(AQD0503)
AQP0703,AQA0704 y AQH0704 y AQP0702,No tiene,No tiene,No tiene
AQO0100,AQC0202 o AQP0702,No tiene,No tiene,(AQP0802)
AQI0302,No tiene,No tiene,No tiene,(AQH2003 o AQH2004 o AQH2005)
AQI0003,No tiene,No tiene,No tiene,No tiene
AQI0203,No tiene,No tiene,No tiene,No tiene
AQI0002,No tiene,No tiene,No tiene,No tiene
AQH0400,(AQH0300 y AQA0605) o (AQH0300 y AQT0500) o (AQH0403 y AQA0605) o (AQH0403 y AQT0500),No tiene,No tiene,(AQH0704)
AQI0001,No tiene,No tiene,(Escuela=Arquitectura) o (Escuela=Dise�o) o (Escuela=Ingenieria) o (Escuela=Construccion Civil) o (Escuela=Medicina) o (Escuela=Enfermeria) o (Escuela=Psicologia) o ((Creditos >= 100) y (Escuela=Trabajo Social)),No tiene
AQH0200,AQH0000 o AQH0001,No tiene,No tiene,(AQH0202)
AQH0000,No tiene,No tiene,No tiene,(AQH0001)
AQH0300,AQH0200 o AQH0202,No tiene,No tiene,(AQH0403)
AQE6200,No tiene,No tiene,No tiene,No tiene
AQC2010,AQT006A o AQT006H o AQT006U o AQT006C o AQT006I,o,(Creditos >= 300),No tiene
AQC1306,No tiene,No tiene, ((Carrera = Dise�o) o (Carrera = Arquitectura)),No tiene
AQC0210,AQC0110 y FIS1032,No tiene,No tiene,(AQE0102)
AQC0300,(AQC0200 y AQC0210) o (AQC0200 y AQE0102) o (AQC0403 y AQC0210) o (AQC0403 y AQE0102),No tiene,No tiene,(AQC0603)
AQC0110,FIS1030 o FIS1031 o FIS1032,No tiene,No tiene,(AQE0101)
AQC0202,(AQC0200 y AQC0210) o (AQC0200 y AQE0102) o (AQC0403 y AQC0210) o (AQC0403 y AQE0102),y, (Programa = Arquitectura),(AQP0702)
AQC0200,(AQC0100 y AQC0210) o (AQC0100 y AQE0102) o (AQC0201 y AQC0210) o (AQC0201 y AQE0102),No tiene,No tiene,(AQC0403)
AQC0101,(AQC0100 y AQC0110) o (AQC0100 y AQE0101) o (AQC0201 y AQC0110) o (AQC0201 y AQE0101),No tiene,No tiene,No tiene
AQC0100,(FIS1030 y AQC0110) o (FIS1030 y AQE0101) o (FIS1031 y AQC0110) o (FIS1031 y AQE0101) o (FIS1032 y AQC0110) o (FIS1032 y AQE0101) o (FIS1503 y AQE0101) o (FIS1503 y AQC0110),No tiene,No tiene,(AQC0201)
AQA1200,(AQA1010 o AQA100C o AQA100H o AQA100I o AQA100U) y AQP0703,No tiene,No tiene,(AQA120H o AQA120U o AQA1202 o AQT020T o AQT100A o AQT100C o AQT100E o AQT100P o AQT100U)
AQA1100,(AQA1010 o AQA100C o AQA100H o AQA100I o AQA100U) y AQP0703,No tiene,No tiene,(AQA110H o AQA1102 o AQT010T o ARQ3071 o ARQ3203 o ARQ3351 o ARQ3551 o ARQ3602)
ADU4123,No tiene,No tiene, (Programa = Doct En Arquitectura),No tiene
ADU4111,No tiene,No tiene,No tiene,No tiene
ADU4112,No tiene,No tiene, (Programa = Doct En Arquitectura),(ADU4107)
ADU4121,No tiene,No tiene, ((Carrera = Mag en Arquitectura) o (Carrera = Doct en Arquitectura) o (Carrera = Mag Proyecto Urbano) o (Carrera = Mag Arq del Paisaje) o (Carrera = Magister en Patrimonio Cultura) o (Carrera = Mag Arq Sust y Energ) o (Carrera = Mag Desarrollo Urban) o (Carrera = Mag Asent Humanos-Ma)),No tiene
ADU4110,No tiene,No tiene, (Programa = Doct En Arquitectura),No tiene
ADU4109,ADU4102 y ADU4108,y, (Programa = Doct En Arquitectura),No tiene
ADU4108,ADU4101,y, (Programa = Doct En Arquitectura),No tiene
ADU4106,ADU4105,y, (Programa = Doct En Arquitectura),No tiene
ADU4104,ADU4103,y, (Programa = Doct En Arquitectura),No tiene
ADU4103,ADU4102,y, (Programa = Doct En Arquitectura),No tiene
ADU4105,ADU4104,y, (Programa = Doct En Arquitectura),No tiene
ADU4102,ADU4101,y, (Programa = Doct En Arquitectura),No tiene
ADU4049,No tiene,No tiene,No tiene,No tiene
ADU4101,ADU4123,y, (Programa = Doct En Arquitectura),No tiene
ADU4042,No tiene,No tiene,No tiene,No tiene
ADU4003,No tiene,No tiene, ((Carrera = Mag en Arquitectura) o (Carrera = Doct en Arquitectura) o (Carrera = Mag Proyecto Urbano) o (Carrera = Mag Arq del Paisaje) o (Carrera = Mag Desarrollo Urban) o (Carrera = Mag Asent Humanos-Ma)),No tiene
ADU4002,No tiene,No tiene,(Programa=Mag en Arquitectura) o (Programa=Doct en Arquitectura) o (Programa=Mag Proyecto Urbano) o (Carrera=Mag Desarrollo Urban) o (Carrera=Mag Asent Humanos-Ma) o (Carrera=Mag Arq del Paisaje) o (Programa=Mag en Arquitectura),No tiene
ANT504Q,No tiene,No tiene,No tiene,No tiene
ANT503Q,ANT303Q,No tiene,No tiene,No tiene
ANT405R,No tiene,No tiene,No tiene,No tiene
ANT330,No tiene,No tiene,(Creditos >= 400),No tiene
ANT320Q,ANT315Q y ANT316Q,No tiene,No tiene,No tiene
ANT320,No tiene,No tiene,((Escuela=Antropologia) y (Creditos >= 200)),(ANT262)
ANT319Q,ANT315Q y ANT316Q,No tiene,No tiene,No tiene
ANT318Q,ANT315Q y ANT316Q,No tiene,No tiene,No tiene
ANT313Q,No tiene,No tiene,No tiene,No tiene
ANT312Q,ANT308Q,No tiene,No tiene,No tiene
ANT311Q,ANT307Q,No tiene,No tiene,No tiene
ANT310,No tiene,No tiene,((Escuela=Antropologia) y (Creditos >= 200)),No tiene
ANT310Q,ANT306Q,No tiene,No tiene,No tiene
ANT305Q,ANT120 y ANT1600 y ANT1610 y ANT302Q,No tiene,No tiene,No tiene
ANT304Q,ANT120 y ANT1600 y ANT1610 y ANT302Q,No tiene,No tiene,No tiene
ANT303Q,ANT120 y ANT1600 y ANT1610 y ANT302Q,No tiene,No tiene,No tiene
ANT3026,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
ANT3032,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
ANT3031,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
ANT3006,ANT3000 y ANT3001 y ANT3002 y ANT3003,y, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
ANT3005,ANT3000 y ANT3001 y ANT3002 y ANT3003,y, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
ANT3002,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
ANT3000,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
ANT300,No tiene,No tiene,((Escuela=Antropologia) y (Creditos >= 200)),No tiene
ANT259,No tiene,No tiene,No tiene,No tiene
ANT2531,No tiene,No tiene,(Creditos >= 300),No tiene
ANT2325,No tiene,No tiene,No tiene,No tiene
ANT2327,No tiene,No tiene,No tiene,No tiene
ANT220,No tiene,No tiene,No tiene,No tiene
ANT210,No tiene,No tiene,No tiene,No tiene
ANT200,No tiene,No tiene,No tiene,(SOL155A)
ANT190,(ANT180),No tiene,No tiene,No tiene
ANT170,No tiene,No tiene,No tiene,No tiene
ANT1610,No tiene,No tiene,No tiene,No tiene
ANT160,(ANT100),No tiene,No tiene,No tiene
ANT140,(ANT100),No tiene,No tiene,No tiene
ANT135,No tiene,No tiene,No tiene,(ANT130 o SOL153A)
ANT120,No tiene,No tiene,No tiene,No tiene
ANT110,No tiene,No tiene,No tiene,No tiene
